student_id,gender,study_hours_per_day,attendance_percentage,assignment_score,midterm_score,final_exam_score,participation_score,internet_access,extra_classes,parent_education,sleep_hours,overall_score,grade
104387,Male,3.39,70.46,80.09,75.54,53.07,50.31,No,No,High School,4.05,65.5545,C
100868,Male,8.32,92.47,70.57,86.64,40.07,97.34,Yes,No,PhD,4.3,68.7795,C
100275,Female,3.05,69.16,97.44,30.59,95.18,50.01,No,No,Master,8.67,72.3655,B
104450,Female,5.04,63.04,59.75,31.27,75.25,50.62,Yes,Yes,PhD,4.68,57.471,C
102578,Female,9.25,44.03,67.27,48.61,77.4,26.1,Yes,Yes,High School,8.16,59.7095,C
101698,Male,8.28,80.02,33.85,30.64,43.85,29.05,No,Yes,Master,4.57,40.6845,D
103277,Female,4.8,60.77,65.94,83.28,50.44,94.18,No,Yes,PhD,5.92,67.157,C
103250,Male,9.29,50.33,41.74,56.12,76.8,37.1,No,No,PhD,4.22,58.001,C
100195,Female,8.18,62.72,59.03,36.84,63.81,69.59,Yes,No,PhD,5.04,56.5805,C
101845,Male,2.74,80.72,33.25,63.82,77.62,74.17,No,Yes,Master,5.24,65.261,C
101932,Male,4.84,49.83,69.61,81.92,84.85,16.29,Yes,No,High School,5.33,70.7115,B
103114,Female,4.67,54.87,69.55,93.07,59.08,48.59,Yes,No,Master,7.01,68.2015,C
104024,Female,5.66,60.75,81.52,27.91,36.31,60.99,Yes,No,Bachelor,8.65,48.164,D
104380,Female,1.11,75.35,76.54,51.48,58.53,51.86,Yes,Yes,High School,7.55,61.3845,C
103481,Male,3.23,99.44,97.57,42.25,88.71,83.26,No,No,PhD,5.63,79.395,B
101714,Female,8.71,97.34,44.94,46.05,92.31,64.35,No,Yes,High School,8.73,68.978,C
103566,Male,9.27,84.98,88.48,71.51,71.61,45.44,No,No,High School,8.76,73.679,B
102835,Male,5.1,54.03,80.3,38.94,97.36,34.97,No,No,Master,7.4,68.771,C
103060,Female,6.69,44.94,52.62,58.59,92.26,25.9,No,No,Bachelor,5.0,64.5465,C
104256,Female,3.18,91.46,31.94,42.59,95.58,85.31,No,Yes,High School,7.94,68.1655,C
102595,Female,9.91,82.47,67.42,47.23,85.87,70.66,Yes,Yes,PhD,5.88,70.659,B
102145,Female,7.48,80.19,74.43,95.72,73.95,38.36,No,Yes,High School,7.98,76.5535,B
102562,Female,2.02,73.21,73.15,72.94,43.32,24.96,Yes,No,Bachelor,8.07,57.844,C
102741,Female,2.48,41.39,69.87,90.99,55.01,17.44,Yes,Yes,Bachelor,6.49,61.858,C
100951,Female,2.44,46.95,70.83,80.88,45.83,97.52,No,Yes,Bachelor,5.15,64.8735,C
103980,Female,7.79,91.92,62.73,63.37,88.06,79.85,Yes,No,High School,5.22,76.3865,B
101781,Female,5.34,66.12,66.71,63.3,96.0,76.74,No,Yes,Bachelor,7.65,77.053,B
102410,Male,4.82,54.63,70.08,59.88,51.07,66.74,Yes,Yes,PhD,4.34,58.9975,C
101430,Male,7.49,57.45,58.59,99.91,40.25,71.13,No,Yes,Master,5.69,63.641,C
101982,Female,9.41,97.25,33.41,31.32,52.19,24.28,Yes,Yes,Master,7.09,44.9315,D
104579,Female,2.99,53.55,64.5,84.57,63.09,73.3,No,Yes,Master,8.65,68.809,C
103784,Female,6.1,93.18,56.18,36.16,37.43,27.21,No,Yes,High School,7.53,45.4155,D
102841,Male,4.96,40.57,94.02,98.87,90.85,80.84,Yes,No,High School,6.85,87.46,A
100145,Male,8.92,99.97,43.3,40.25,43.28,35.33,Yes,Yes,Bachelor,6.83,47.4005,D
100497,Female,9.0,41.59,49.29,58.51,32.74,81.21,Yes,Yes,Master,8.85,48.2245,D
102129,Female,9.51,88.49,76.3,97.3,92.36,31.65,Yes,No,Bachelor,6.81,83.925,B
103131,Male,6.48,65.92,53.95,47.13,79.25,26.37,No,Yes,High School,6.16,59.539,C
103533,Female,8.09,59.86,83.1,38.57,48.95,62.82,Yes,No,PhD,8.15,55.663,C
101670,Female,4.11,75.24,30.51,37.49,44.79,71.01,Yes,Yes,Master,7.06,45.776,D
104128,Female,7.39,99.0,44.99,69.52,38.09,86.65,Yes,Yes,High School,7.56,58.2745,C
100562,Male,3.37,87.88,52.3,85.54,66.16,56.46,Yes,Yes,Bachelor,7.1,69.435,C
101297,Male,1.75,94.5,35.73,74.37,86.15,81.55,Yes,No,Master,5.8,73.496,B
104596,Female,5.48,99.87,39.05,92.32,51.03,11.85,No,Yes,Master,8.56,59.9225,C
104655,Male,6.06,81.08,34.61,38.83,48.12,16.45,Yes,No,Master,4.24,43.2245,D
103933,Female,7.01,82.54,30.57,68.06,55.43,16.46,Yes,Yes,PhD,5.26,52.4295,D
101745,Female,9.95,71.46,84.57,41.61,36.02,81.64,No,No,High School,4.04,55.2335,C
101442,Female,7.51,49.41,53.17,56.59,42.49,37.36,No,Yes,PhD,4.75,48.33,D
101930,Female,3.89,77.31,89.84,47.61,65.55,15.45,Yes,No,High School,5.23,62.089,C
103210,Male,2.57,56.96,52.39,88.94,82.06,69.54,No,Yes,High School,7.5,74.084,B
102040,Male,8.06,70.59,50.21,87.19,37.39,18.7,Yes,Yes,Master,7.52,53.855,D
103846,Female,9.4,86.55,94.09,51.45,34.87,89.14,Yes,No,High School,4.38,61.454,C
102422,Male,4.51,57.73,52.47,38.85,99.39,45.86,No,No,Bachelor,8.81,65.352,C
103386,Male,9.78,71.47,78.26,25.04,49.3,71.24,No,No,Master,7.49,53.438,D
100194,Male,2.84,54.91,77.37,43.15,86.35,47.61,Yes,No,PhD,6.91,66.736,C
100625,Female,8.59,59.44,40.26,94.18,56.1,54.57,Yes,No,Bachelor,5.65,62.633,C
104606,Male,8.32,93.78,58.91,56.5,54.72,89.99,No,No,Bachelor,4.92,63.436,C
104146,Male,4.2,57.37,40.74,65.04,84.97,64.69,No,No,PhD,8.0,66.3535,C
102276,Female,3.71,,52.14,95.24,46.95,69.11,No,No,Master,5.32,64.6755,C
102420,Male,2.77,95.31,41.21,58.61,57.61,44.82,Yes,Yes,High School,4.32,57.071,C
100172,Male,1.19,84.96,33.37,42.58,47.05,53.0,Yes,No,PhD,7.17,47.5825,D
103357,Male,5.78,70.23,43.43,47.03,40.94,53.63,No,No,Master,5.49,47.1585,D
101414,Female,2.79,73.84,57.66,52.34,96.74,80.21,No,Yes,High School,8.83,73.881,B
103873,Female,1.04,45.41,39.07,28.85,34.76,69.82,No,No,Master,8.74,38.7155,F
